label,back_translation
1,i need a postcard love? what does that mean?
1,"What kind of food did the people who lived in the ""Silk Road"" eat?"
1,"Does anyone know how to say ""this is what I want"" in Latin? hoc est quod volo."
1,"are you looking forward to it and why? is it the weekend, the retirement, the next holiday, getting married and starting a family? the next holiday, because the next holiday is Friday, and also the end of school, because it will be a great summer!"
1,"how do you spend the rest of your life? every morning, when you get out of bed, you can stretch out and say out loud: ""this is the first day of the rest of my life. do not waste a moment of your precious time. try to be nice to people - imagine that it is the last day of your life and how you could make it your happiest time. respect yourself and others. tell those you love how much you love. enjoy yourself and may"" the rest of your life ""be happy, content, beautiful and with many friends and families. thank god and good luck."
1,"How do you know that you are in love with someone? You know that you are in love when: 13. if you talk to them on the phone late at night and hang up on them, but you miss them already when it is only five minutes ago... 12. if you read their texts or notes over and over again... 11. if you walk really slowly when you are with them... 10. if you are with them, you feel shy... 9. if you think of them, your heart beats faster and faster... 8. you smile when you hear their voice... 7. if you look at them, you do not see the other people around you... all you see is him / her... 6. you start listening to slow songs while you think of them... 5. they become everything you think of... 4. you only get high by their smell... 3. you realize that you always smile to yourself when you think of them... 2. you would do something for them 1. while the person was reading..."
1,"Is it a sin for me to have a baby that is not my husbands? Well, you will have it then, eh?? ohhhh!! Congratulations:)"
1,"which questions are particularly taboo for americans? (i mean us)? why? ok don't ask how much money people have. """" """" ""people earn weekly, etc. don't ask about a woman's age. Don't ask for a kiss on your first date. but pay attention to religious issues related to politics."
1,"are there any side effects of being pretty? i was curious about what laura said. Men definitely think with more than one...... no matter.... if a pretty woman is involved, but do other women really hate pretty women so much? so who gets more discriminated against, pretty or ugly? it's worth being average."
1,"what is the day of the boucherie? traditionally, a boucherie was a collective slaughter sponsored by a cajun family and joined by neighboring families. Cattle or pigs were usually slaughtered, meat and by-products shared among the participants. Boucheries provided a fresh meat supply to the community and also provided an opportunity for socializing. Refrigeration made the boucherie unnecessary, but this practice still takes place on a limited scale and mostly for social purposes. the city of sorrento hosts a boucherie festival every October."
1,"why does god take people's lives because they can't afford a doctor? people lose their lives or suffer because they can't afford doctrines. if i was religious, i would certainly ask myself why god favors the wealthy. sure, it seems to be. why does god give a lot of money to a few carefree people and make the rest of us suffer."
1,"Where did we get the magic word abracadabra? The word abracadabra comes from the Hebrew expression ""I create as I speak."" There is a variation of these words in all Jewish scriptures."
1,"do muslims have ""shotgun weddings""? i agree with thr rpg, but do they tie cans to the back of the camel? with a big, just-married shield?"
1,where can i find information about the church of the christian message as it is popular in nigeria? i agree with it. the da vinci code is a good source.
1,what is kofi annan religion? he is the prophet of un.
1,"Honest answers please!? why are whites so interested in these b.e.t. and minority awards? once they weren't even taken seriously enough to merit a lot of attention! is that some kind of jealousy? ""how is it that they get this and not me..."" serious whites, what's going on?? seriously? ok, in society there are several groups of people, the fanatics who just carry on all the racial hatred that the dear old father instilled in them, and who believe the same hateful words that they spread like a child saying abc's there, then there are the honest ok people who don't really care who your great great great great-great-great-grandma was and what color you are - they don't have to be nice people, but hey, if they hate you because you are, not if you successfully coordinate with the rest of their friends, then there are the rest of their friends, and then there's the ""trying to do harm"" people - maybe you've actually hit them with racist things like that you did here?"
1,This year it has come to the point that it has never come as far as this year.
1,"Why can't you convert to Hinduism? I know you have to be born into Hinduism, so why don't they allow conversion? hey, im an hindu bcz im from india & i do follow it & i know it better than u all who have only learnt it, its our culture to pray the God in so many different forms, so that are told it false or criticising it, i can't get better view by just learning about it. i am a hindu & i know that my religion is best in world & i respect my culture, country & religion heartly.so that dont feel it until u dont follow hinduism.and remember that books do lie, u cant better view by just learning about it. i am a hindu & i know that my religion is best in world & i respect my culture, country & religion heartly.so those dont understand my religion just shut ur mouth. and now I want to answer ur question.i think u have trutrudly information from every person is allowed to conversion into our culture & u.u."
1,"What does the dream mean to confront your love? I dreamed that I liked my crush and tried to tell her that I like her and want to start a relationship or something, and she agreed and we arrived late to class, so we have to go... what does that mean? I agree with the first answer - dreams can also have inverse meanings, because you don't really want to confront them, because you already know the answer in your heart."
1,which surname best matches the first name sabina? any other suggestions? mortensen berbatova illonen kluivert bliznakova raikkonen hartnet moreyra braycheva florova safina alexanderson braycheva law zamorano indzaghi van tareh fon lot are these the surnames of all boys u like? jk i think indzaghi is the best
2,"t know what they mean. But here are two possible answers for them: 1) oxygen, which can also exist as ozone (o3), which is a triatomic molecule. 2) or as idunno pointed out astatin, which is normally not considered due to its rarity in nature."
2,"what is the difference to a particle as in an electron versus matter as in a molecule? the parts of the atom seem to be more like energy-charged charges, so that matter is only the force of energy - what about a force field that we understand as matter? a proton, a neutron and an electron are what constitute an atomy. however, a molecule is defined as two or more atoms connected by chemical bonds that connect together. covalent bonds consist of common pairs of electron electronegativity: unequal division of electrons... u can find more information at askjeeves.com"
2,Spot the difference (14x2 + 3x + 11) - (10x2 + 5).? if x2 means x-square? 4x ^ 2 + 3x + 6
2,"what was the time of the eclipse on march 29, 2006? greetings, on the greek island kastellorizo off the turkish coast, totality lasted 3 minutes. for a great article about the eclipse, including video clips from nasa and the discovery channel, check out this link to the sky and telescope: http: / / skyandtelescope.com / observing / objects / eclipses / article _ 1706 _ 1.asp -matt"
