label,content,synonym_aug
1,i need a post card love?   what does that mean?,i need a situation poster love? what make out that intend?
1,"what type of food did people who lived in the ""silk road"" eat?   mostly rice","what type of food perform masses who lived in the "" silk road "" eat? more often than not rice"
1,"does anyone know how to say ""this is what i want"" in latin?   hoc est quod volo.","coif anyone know how to say "" this be what i require "" in latin? hoc est quod volo."
1,"are you looking forward to and why? is it the weekend, retirement, next holiday, getting married & starting a family? next holiday because next holiday is friday, and also the end of school because its gonna be an awesome summer!","are you look frontward to and wherefore? is it the weekend, retreat, next holiday, getting married & starting a home? following holiday because next holiday is friday, and also the end of school because it gonna live an awesome summer!"
1,"what is the best way to spend the rest of your life?   every morning when you get out of bed, have a good stretch and say out loud:  'this is the first day of the rest of my life'.   do not waste a moment of your precious time.  try to be nice to people - imagine that it is the last day of their life and how you could make it their happiest.  have respect for yourself and others.  tell those you love, how much you love them.  enjoy yourself and may 'the rest of your life' be happy, contented, lovely and with lots of friends and family.  god bless and good luck.","what is the best way to spend the rest of your life? every morning when you get verboten of bed, have a good stretch and say out loud: ' this is the first day of the rest of my life '. behave not waste a moment of your precious time. test to be nice to people - imagine that it be the net day of their life and how you could make information technology their happiest. have respect for yourself and others. tell those you love, how much you love them. enjoy yourself and may ' the rest of your life ' be happy, contented, lovely and with lots of friends and family. god bless and good luck."
1,"how do u know that u r in love with some one?   you know you're in love when:  13. when your on the phone with them late at night and they hang up but you miss them already when it was just five minutes ago...   12. you read their texts or notes over and over again...   11. you walk really slow when you're with them...   10. you feel shy whenever you're with them...   9. when you think about them, your heart beats faster and faster...   8. you smile when you hear their voice...   7. when you look at them, you can't see the other people around  you... all you see is him/her...   6. you start listening to slow songs, while thinking of them...   5. they become all you think about...   4. you get high just from their scent...   3. you realize that you're always smiling to yourself when you think  about them...   2. you would do anything for them...   1. while reading this, there was one person on your mind the whole  time.....","how do u know that u r in love with some one? you know you ' re in love when: 13. when your on the phone with them late at night and they fall up but you miss them already when it was just five minutes ago. .. 12. you read their texts or notes over and over over again. .. 11. you walk really slow when you ' re with them. .. 10. you feel shy whenever you ' re with them. .. 9. when you think about them, your heart beats faster and faster. .. 8. you smile when you hear their voice. .. 7. when you look at them, you can ' t see the other people around you. .. all you see is him / her. .. 6. you start listen to slow songs, while thinking of them. .. 5. they become all you think about. .. 4. you get high just from their scent. .. 3. you realize that you ' re always smiling to yourself when you think about them. .. 2. you would do anything for them. .. 1. while reading this, there was one person on your mind the whole clip. .. .."
1,"is it a sin for me to have a baby  thats not my husbands?   so, you're gonna have it then uh?? ohhhh!! congrats :)","is information technology a sin for me to experience a child thats non my husbands? and then, you ' re gonna take in it then uh? ? ohhhh! ! congrats: )"
1,"what kind of questions are largerly taboo for americans? (i mean us)? why? ok don't ask how much money people have. """"        """"           """"     people earn weekly etc. don't ask a woman's age. don't ask for a kiss on the first date careful about religous questions careful about politics.","what kind of questions are largerly tabu for americans? (i mean usa )? why? ok father ' liothyronine ask how much money people get. "" "" "" "" "" "" people realise weekly etc. don ' t necessitate a woman ' s age. don ' t ask for a osculation on the first date careful about religous questions careful about politics."
1,"are there any side effects of being pretty? just curious i was struck by what laura said. men are definitely thinking with more than one......never mind....when a pretty woman is involved. but do other women really hate pretty women that much? so who is more discriminated against then, pretty or ugly? guess it pays to be average.","are there any incline effects of live pretty? just peculiar i was struck by what laura said. men are decidedly thinking with more than one. .. .. . never mind. .. . when a pretty woman is involved. but do other women really hate pretty women that much? hence who is to a greater extent discriminated against then, moderately or ugly? guess it pays to be mean."
1,"what is boucherie's day?   traditionally, a boucherie was a communal butchering sponsored by a cajun family and joined by neighboring families.  cattle or swine were usually slaughtered, and the meat and by-products were shared among participants.  boucheries  ensured a fresh supply of meat for the community, and also provided an opportunity for socializing.  refrigeration made the boucherie unnecessary, but the practice still occurs on a limited basis, and largely for social purposes.  the town of sorrento hosts an annual boucherie festival each october.","what be boucherie ' s day? traditionally, a boucherie was a communal butchering sponsored by a cajun family and link by neighboring families. cattle or swine were usually slaughtered, and the meat and by - products be shared among participants. boucheries ensured a fresh supply of substance for the community, and likewise provided an opportunity for socializing. refrigeration made the boucherie unnecessary, but the practice still occurs on a special basis, and largely for social purposes. the town of sorrento hosts an annual boucherie festival each october."
